image,start,end,text
1.jpg,00:00,00:02,"Nobody is talking about Japan."
2.jpg,00:02,00:04,"That is exactly the problem."
3.jpg,00:04,00:07,"While the world argues about Argentina and France,"
4.jpg,00:07,00:10,"Japan has been building something different."
5.jpg,00:10,00:12,"Something quiet? Something dangerous."
6.jpg,00:12,00:16,"In 2022, they beat Germany."
7.jpg,00:16,00:19,"They beat Spain. Everyone called it a miracle."
8.jpg,00:19,00:22,"It wasn't. It was a system."
9.jpg,00:22,00:25,"A machine built on discipline, speed, and zero-fear."
10.jpg,00:25,00:28,"And that machine has only gotten stronger."
11.jpg,00:28,00:31,"Their young players are not just talented,"
12.jpg,00:31,00:33,"they are terrifyingly well-coached."
13.jpg,00:33,00:35,"Every pass has a purpose."
14.jpg,00:35,00:37,"Every run is rehearsed a thousand times."
15.jpg,00:37,00:39,"So why does nobody fear them"
16.jpg,00:39,00:42,"because giants never see the storm until it's already"
17.jpg,00:42,00:43,"on top of them?"
18.jpg,00:43,00:46,"Brazil has flair, Argentina has messy shadow,"
19.jpg,00:46,00:49,"France has chaos waiting to explode."
20.jpg,00:49,00:53,"Japan has none of that baggage, just preparation."
21.jpg,00:53,00:55,"What happens when a team with"
22.jpg,00:55,00:57,"Noigo meets a team full of pressure?"
23.jpg,00:57,00:59,"History already gave us the answer once."
24.jpg,00:59,01:04,"In 2026, Japan won't be the underdog story anymore."
25.jpg,01:04,01:06,"They will be the team every favorite,"
26.jpg,01:06,01:08,"quietly fears in the tunnel."
27.jpg,01:08,01:10,"Nobody was talking about Japan."
28.jpg,01:10,01:12,"After this world cup, everyone will be."
